"DATE_NAME","GEOGRAPHY_NAME","CELL_NAME","OBS_VALUE"
"Oct 2016-Sep 2017","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2539800
"Oct 2016-Sep 2017","Scotland","T01:22 (Aged 16-64 - All : All People )",3439200
"Jan 2017-Dec 2017","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",283300
"Jan 2017-Dec 2017","Glasgow City","T01:22 (Aged 16-64 - All : All People )",429600
"Jan 2017-Dec 2017","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2554300
"Jan 2017-Dec 2017","Scotland","T01:22 (Aged 16-64 - All : All People )",3440800
"Apr 2017-Mar 2018","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",285500
"Apr 2017-Mar 2018","Glasgow City","T01:22 (Aged 16-64 - All : All People )",429500
"Apr 2017-Mar 2018","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2555300
"Apr 2017-Mar 2018","Scotland","T01:22 (Aged 16-64 - All : All People )",3441000
"Jul 2017-Jun 2018","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",281600
"Jul 2017-Jun 2018","Glasgow City","T01:22 (Aged 16-64 - All : All People )",427000
"Jul 2017-Jun 2018","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2564300
"Jul 2017-Jun 2018","Scotland","T01:22 (Aged 16-64 - All : All People )",3442100
"Oct 2017-Sep 2018","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",283400
"Oct 2017-Sep 2018","Glasgow City","T01:22 (Aged 16-64 - All : All People )",428000
"Oct 2017-Sep 2018","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2557600
"Oct 2017-Sep 2018","Scotland","T01:22 (Aged 16-64 - All : All People )",3441900
"Jan 2018-Dec 2018","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",276500
"Jan 2018-Dec 2018","Glasgow City","T01:22 (Aged 16-64 - All : All People )",430300
"Jan 2018-Dec 2018","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2549800
"Jan 2018-Dec 2018","Scotland","T01:22 (Aged 16-64 - All : All People )",3442700
"Apr 2018-Mar 2019","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",283400
"Apr 2018-Mar 2019","Glasgow City","T01:22 (Aged 16-64 - All : All People )",430400
"Apr 2018-Mar 2019","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2564400
"Apr 2018-Mar 2019","Scotland","T01:22 (Aged 16-64 - All : All People )",3442200
"Jul 2018-Jun 2019","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",288400
"Jul 2018-Jun 2019","Glasgow City","T01:22 (Aged 16-64 - All : All People )",431100
"Jul 2018-Jun 2019","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2570000
"Jul 2018-Jun 2019","Scotland","T01:22 (Aged 16-64 - All : All People )",3442800
"Oct 2018-Sep 2019","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",293200
"Oct 2018-Sep 2019","Glasgow City","T01:22 (Aged 16-64 - All : All People )",432500
"Oct 2018-Sep 2019","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2573600
"Oct 2018-Sep 2019","Scotland","T01:22 (Aged 16-64 - All : All People )",3442300
